3,8
3,9
3,10
3,11
3,12
3,13
3,14
3,15
3,16
3,17
3,18
3,19
3,8
4,8
5,8
6,8
7,8
8,8
9,8
10,8
11,8
12,8
12,8
12,9
12,10
12,11
12,17
12,18
12,19
3,19
4,19
5,19
6,19
7,19
8,19
9,19
10,19
11,19
12,19
12,11
13,11
14,11
15,11
16,11
17,11
18,11
19,11
20,11
21,11
22,11
23,11
24,11
25,11
12,17
13,17
14,17
15,17
16,17
17,17
18,17
19,17
20,17
20,17
20,18
20,19
20,20
20,21
20,22
20,23
20,24
21,24
22,24
23,24
24,24
25,24
26,24
27,24
28,24
29,24
30,24
31,24
32,24
33,24
34,24
35,24
36,24
37,24
38,24
39,24
40,24
41,24
42,24
43,24
44,24
23,17
24,17
25,17
26,17
27,17
28,17
23,17
23,18
23,19
23,20
23,21
24,21
25,21
26,21
27,21
28,21
29,21
30,21
31,21
31,18
31,19
31,20
28,7
28,8
28,9
28,10
28,11
28,12
28,13
28,14
28,15
28,16
28,17
25,4
25,5
25,6
25,7
25,8
25,9
25,10
25,11
26,4
27,4
28,4
29,4
30,4
31,4
32,4
28,7
29,7
30,7
31,7
32,7
32,2
32,3
32,4
33,2
34,2
35,2
36,2
37,2
38,2
39,2
40,2
41,2
42,2
43,2
44,2
45,2
46,2
47,2
48,2
49,2
50,2
51,2
52,2
53,2
54,2
32,18
33,18
34,18
35,18
36,18
37,18
38,18
39,18
40,18
41,18
42,18
43,18
44,18
45,18
46,18
47,18
48,18
49,18
50,18
51,18
52,18
53,18
54,18
55,18
56,18
44,21
44,22
44,23
44,24
45,21
46,21
47,21
48,21
49,21
50,21
51,21
52,21
52,22
52,23
53,23
54,23
55,23
56,23
57,23
58,23
59,23
60,23
61,23
62,23
63,23
64,23
65,23
66,23
67,23
68,23
69,23
70,23
71,23
72,23
73,23
32,8
32,9
32,10
32,11
32,12
32,13
32,14
33,14
34,14
35,14
36,14
37,14
38,14
39,14
40,14
41,14
42,14
43,14
44,14
45,14
46,14
47,14
48,14
49,14
50,14
51,14
52,14
53,14
54,14
54,2
54,3
54,4
54,5
54,6
54,7
54,8
54,12
54,13
54,14
55,8
56,8
57,8
58,8
59,8
60,8
55,12
56,12
56,13
56,14
56,15
56,16
56,17
56,18
60,9
60,10
60,11
60,12
60,13
60,14
60,15
60,16
60,17
60,18
61,18
62,18
63,18
64,18
65,18
66,18
67,18
67,8
67,9
67,10
67,11
67,12
67,13
67,14
67,15
67,16
67,17
65,8
66,8
65,3
65,4
65,5
65,6
65,7
66,3
67,3
68,3
69,3
70,3
71,3
72,3
73,3
73,4
73,5
73,6
73,7
73,8
71,8
72,8
71,9
71,10
71,11
71,12
71,13
71,14
71,15
71,16
71,17
71,18
72,18
73,18
73,19
73,20
73,21
73,22
73,23
